FID	IID	Menthol_Sweet	Menthol_Salty	Menthol_Sour	Menthol_Bitter	Menthol_Burn	Menthol_Cool	Menthol_Liking	Menthol_Intense	Capsaicin_Sweet	Capsaicin_Salty	Capsaicin_Sour	Capsaicin_Bitter	Capsaicin_Burn	Capsaicin_Cool	Capsaicin_Liking	Capsaicin_Intense	X25CornOilNoFA_Fatty	X25CornOilNoFA_Salty	X25CornOilNoFA_Crispy	X25CornOilNoFA_Liking	X15CornOilNoFA_Fatty	X15CornOilNoFA_Salty	X15CornOilNoFA_Crispy	X15CornOilNoFA_Liking	X5CornOilNoFA_Fatty	X5CornOilNoFA_Salty	X5CornOilNoFA_Crispy	X5CornOilNoFA_Liking	X10CornOilNoFA_Fatty	X10CornOilNoFA_Salty	X10CornOilNoFA_Crispy	X10CornOilNoFA_Liking	X5CornOil_02Palmitic_Fatty	X5CornOil_02Palmitic_Salty	X5CornOil_02Palmitic_Crispy	X5CornOil_02Palmitic_Liking	X25CornOil_02Palmitic_Fatty	X25CornOil_02Palmitic_Salty	X25CornOil_02Palmitic_Crispy	X25CornOil_02Palmitic_Liking	Water_Cool1	Sucrose_Cool2	NaCl_Cool3	PTC_Cool9	logMenthol_Sweet	logMenthol_Salty	logMenthol_Sour	logMenthol_Bitter	logMenthol_Burn	logMenthol_Cool	logMenthol_Liking	logMenthol_Intense	logCapsaicin_Sweet	logCapsaicin_Salty	logCapsaicin_Sour	logCapsaicin_Bitter	logCapsaicin_Burn	logCapsaicin_Cool	logCapsaicin_Liking	logCapsaicin_Intense	logX25CornOilNoFA_Fatty	logX25CornOilNoFA_Salty	logX25CornOilNoFA_Crispy	logX25CornOilNoFA_Liking	logX15CornOilNoFA_Fatty	logX15CornOilNoFA_Salty	logX15CornOilNoFA_Crispy	logX15CornOilNoFA_Liking	logX5CornOilNoFA_Fatty	logX5CornOilNoFA_Salty	logX5CornOilNoFA_Crispy	logX5CornOilNoFA_Liking	logX10CornOilNoFA_Fatty	logX10CornOilNoFA_Salty	logX10CornOilNoFA_Crispy	logX10CornOilNoFA_Liking	logX5CornOil_02Palmitic_Fatty	logX5CornOil_02Palmitic_Salty	logX5CornOil_02Palmitic_Crispy	logX5CornOil_02Palmitic_Liking	logX25CornOil_02Palmitic_Fatty	logX25CornOil_02Palmitic_Salty	logX25CornOil_02Palmitic_Crispy	logX25CornOil_02Palmitic_Liking	logWater_Cool1	logSucrose_Cool2	logNaCl_Cool3	logPTC_Cool9	sqrtMenthol_Sweet	sqrtMenthol_Salty	sqrtMenthol_Sour	sqrtMenthol_Bitter	sqrtMenthol_Burn	sqrtMenthol_Cool	sqrtMenthol_Liking	sqrtMenthol_Intense	sqrtCapsaicin_Sweet	sqrtCapsaicin_Salty	sqrtCapsaicin_Sour	sqrtCapsaicin_Bitter	sqrtCapsaicin_Burn	sqrtCapsaicin_Cool	sqrtCapsaicin_Liking	sqrtCapsaicin_Intense	sqrtX25CornOilNoFA_Fatty	sqrtX25CornOilNoFA_Salty	sqrtX25CornOilNoFA_Crispy	sqrtX25CornOilNoFA_Liking	sqrtX15CornOilNoFA_Fatty	sqrtX15CornOilNoFA_Salty	sqrtX15CornOilNoFA_Crispy	sqrtX15CornOilNoFA_Liking	sqrtX5CornOilNoFA_Fatty	sqrtX5CornOilNoFA_Salty	sqrtX5CornOilNoFA_Crispy	sqrtX5CornOilNoFA_Liking	sqrtX10CornOilNoFA_Fatty	sqrtX10CornOilNoFA_Salty	sqrtX10CornOilNoFA_Crispy	sqrtX10CornOilNoFA_Liking	sqrtX5CornOil_02Palmitic_Fatty	sqrtX5CornOil_02Palmitic_Salty	sqrtX5CornOil_02Palmitic_Crispy	sqrtX5CornOil_02Palmitic_Liking	sqrtX25CornOil_02Palmitic_Fatty	sqrtX25CornOil_02Palmitic_Salty	sqrtX25CornOil_02Palmitic_Crispy	sqrtX25CornOil_02Palmitic_Liking	sqrtWater_Cool1	sqrtSucrose_Cool2	sqrtNaCl_Cool3	sqrtPTC_Cool9	zsqrtMenthol_Sweet	zsqrtMenthol_Salty	zsqrtMenthol_Sour	zsqrtMenthol_Bitter	zsqrtMenthol_Burn	zsqrtMenthol_Cool	zsqrtMenthol_Liking	zsqrtMenthol_Intense	zsqrtCapsaicin_Sweet	zsqrtCapsaicin_Salty	zsqrtCapsaicin_Sour	zsqrtCapsaicin_Bitter	zsqrtCapsaicin_Burn	zsqrtCapsaicin_Cool	zsqrtCapsaicin_Liking	zsqrtCapsaicin_Intense	zsqrtX25CornOilNoFA_Fatty	zsqrtX25CornOilNoFA_Salty	zsqrtX25CornOilNoFA_Crispy	zsqrtX25CornOilNoFA_Liking	zsqrtX15CornOilNoFA_Fatty	zsqrtX15CornOilNoFA_Salty	zsqrtX15CornOilNoFA_Crispy	zsqrtX15CornOilNoFA_Liking	zsqrtX5CornOilNoFA_Fatty	zsqrtX5CornOilNoFA_Salty	zsqrtX5CornOilNoFA_Crispy	zsqrtX5CornOilNoFA_Liking	zsqrtX10CornOilNoFA_Fatty	zsqrtX10CornOilNoFA_Salty	zsqrtX10CornOilNoFA_Crispy	zsqrtX10CornOilNoFA_Liking	zsqrtX5CornOil_02Palmitic_Fatty	zsqrtX5CornOil_02Palmitic_Salty	zsqrtX5CornOil_02Palmitic_Crispy	zsqrtX5CornOil_02Palmitic_Liking	zsqrtX25CornOil_02Palmitic_Fatty	zsqrtX25CornOil_02Palmitic_Salty	zsqrtX25CornOil_02Palmitic_Crispy	zsqrtX25CornOil_02Palmitic_Liking	zsqrtWater_Cool1	zsqrtSucrose_Cool2	zsqrtNaCl_Cool3	zsqrtPTC_Cool9
TW_1211_TW_1211	TW_1211_TW_1211	0	0	0	0	0	7	0.9	5.6	0	0	0	0	2.4	0	4.9	4.8	0	1	7.3	7.3	0.6	4.1	7.5	7.5	2.3	3.7	7.2	7.5	0.3	3.4	7.3	3.1	0.9	0	6.7	1	1	0.8	7.2	0	0	0	0	0	-1	-1	-1	-1	-1	0.851258349	0	0.755874856	-1	-1	-1	-1	0.397940009	-1	0.698970004	0.69019608	-1	0.041392685	0.86923172	0.86923172	-0.15490196	0.62324929	0.880813592	0.880813592	0.380211242	0.579783597	0.86332286	0.880813592	-0.397940009	0.544068044	0.86923172	0.505149978	0	-1	0.832508913	0.041392685	0.041392685	-0.045757491	0.86332286	-1	-1	-1	-1	-1	0	0	0	0	0	2.645751311	0.948683298	2.366431913	0	0	0	0	1.549193338	0	2.213594362	2.19089023	0	1	2.701851217	2.701851217	0.774596669	2.024845673	2.738612788	2.738612788	1.516575089	1.923538406	2.683281573	2.738612788	0.547722558	1.843908891	2.701851217	1.760681686	0.948683298	0	2.588435821	1	1	0.894427191	2.683281573	0	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	-0.865163895	1.648409357	-0.715664977	0.989104857	-0.071059848	-0.086782944	-0.250122263	-0.309012845	-0.57143157	-0.121305038	1.989346585	-0.151416312	-2.306310345	-0.743321239	1.621835375	1.264084295	-1.417698362	0.756974187	1.809360439	1.611989763	0.045126453	0.901837193	1.628033889	1.561443624	-1.853549247	0.524298179	1.645531485	-0.887822864	-1.075792057	-2.15375396	1.403664876	-2.234417538	-0.807568343	-0.784823168	1.606294155	-3.544467627	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_175_TW_175	TW_175_TW_175	0	0	0	0	1.6	0	0	2.1	0	0	0	0	4.8	0	0	5	0	1.3	3.1	0	1.6	1.6	4.1	5.3	0	0	2.6	2.6	0.1	1.9	4.8	7.4	0	0	1	0	1.9	3.4	5.5	7.4	2.1	0	0	0	-1	-1	-1	-1	0.230448921	-1	-1	0.342422681	-1	-1	-1	-1	0.69019608	-1	-1	0.707570176	-1	0.146128036	0.505149978	-1	0.230448921	0.230448921	0.62324929	0.73239376	-1	-1	0.431363764	0.431363764	-0.698970004	0.301029996	0.69019608	0.875061263	-1	-1	0.041392685	-1	0.301029996	0.544068044	0.748188027	0.875061263	0.342422681	-1	-1	-1	0	0	0	0	1.264911064	0	0	1.449137675	0	0	0	0	2.19089023	0	0	2.236067977	0	1.140175425	1.760681686	0	1.264911064	1.264911064	2.024845673	2.302172887	0	0	1.61245155	1.61245155	0.316227766	1.378404875	2.19089023	2.720294102	0	0	1	0	1.378404875	1.843908891	2.34520788	2.720294102	1.449137675	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	0.484161163	-0.907601625	-2.153435114	-1.260500147	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.246380551	-0.121305038	-1.331927164	-0.033144051	-2.306310345	-0.513305368	-0.445202865	-4.912487607	-0.547047904	-0.597729386	-0.02784275	0.428569186	-2.632080332	-2.290726983	-0.517580781	-1.009528255	-2.269038221	-0.337983458	0.531577832	1.672861451	-2.671315889	-2.15375396	-1.808774944	-4.449933032	-0.20451835	0.738912226	0.90245888	1.464653004	1.527561207	-0.126897547	-0.050702013	-0.339631314
TW_1908_TW_1908	TW_1908_TW_1908	0	0	0	3.1	0.9	0	2.1	3.7	0	0	0	0	5.2	0	4.9	4	0	4	5.5	3.7	3.6	4	3.5	3.8	3.3	3.8	3.1	4.3	1.6	1.9	3	4.3	5.8	4.9	5.1	5.1	3.6	5.2	5.2	5.2	3.9	0	0	0	-1	-1	-1	0.505149978	0	-1	0.342422681	0.579783597	-1	-1	-1	-1	0.72427587	-1	0.698970004	0.612783857	-1	0.612783857	0.748188027	0.579783597	0.568201724	0.612783857	0.556302501	0.591064607	0.531478917	0.591064607	0.505149978	0.643452676	0.230448921	0.301029996	0.491361694	0.643452676	0.770852012	0.698970004	0.716003344	0.716003344	0.568201724	0.72427587	0.72427587	0.72427587	0.602059991	-1	-1	-1	0	0	0	1.760681686	0.948683298	0	1.449137675	1.923538406	0	0	0	0	2.28035085	0	2.213594362	2	0	2	2.34520788	1.923538406	1.897366596	2	1.870828693	1.949358869	1.816590212	1.949358869	1.760681686	2.073644135	1.264911064	1.378404875	1.732050808	2.073644135	2.408318916	2.213594362	2.258317958	2.258317958	1.897366596	2.28035085	2.28035085	2.28035085	1.974841766	0	0	0	-0.050702013	-0.050702013	-0.207977376	2.591912711	0.146829898	-0.907601625	0.042795048	-0.097062927	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.36039385	-0.121305038	1.989346585	-0.651153917	-2.306310345	0.897593147	0.838559471	-0.515179126	0.576002335	0.712682847	-0.424275257	-0.528097168	0.574742512	0.944692321	-0.220573088	0.043352209	-0.566332744	-0.337983458	-0.468744821	-0.052696076	1.379066608	1.214625671	0.736037167	0.553405394	0.622531942	1.439317574	0.767433096	0.654546179	2.301486976	-0.126897547	-0.050702013	-0.339631314
TW_1966_TW_1966	TW_1966_TW_1966	0	0	0	0	0	6.5	4.9	3.7	0	0	0	0	6.8	0	1.3	6.5	0	0.5	1.6	5.8	1	1.3	2.4	5.3	2.1	0.6	3.5	6.4	3.7	1	0.5	4.2	2.7	2.7	3.3	5.4	2.2	2.4	5.1	4.3	0	0	0	0	-1	-1	-1	-1	-1	0.819543936	0.698970004	0.579783597	-1	-1	-1	-1	0.838849091	-1	0.146128036	0.819543936	-1	-0.22184875	0.230448921	0.770852012	0.041392685	0.146128036	0.397940009	0.73239376	0.342422681	-0.15490196	0.556302501	0.812913357	0.579783597	0.041392685	-0.22184875	0.633468456	0.447158031	0.447158031	0.531478917	0.740362689	0.361727836	0.397940009	0.716003344	0.643452676	-1	-1	-1	-1	0	0	0	0	0	2.549509757	2.213594362	1.923538406	0	0	0	0	2.607680962	0	1.140175425	2.549509757	0	0.707106781	1.264911064	2.408318916	1	1.140175425	1.549193338	2.302172887	1.449137675	0.774596669	1.870828693	2.529822128	1.923538406	1	0.707106781	2.049390153	1.643167673	1.643167673	1.816590212	2.323790008	1.483239697	1.549193338	2.258317958	2.073644135	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	-0.865163895	1.555432187	1.201361872	-0.097062927	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.777560485	-0.121305038	0.378790379	0.787425156	-2.306310345	-1.223933936	-1.534036279	0.593054243	-1.017450041	-0.820090381	-1.252149626	0.428569186	-0.073920671	-1.005101716	0.000127704	1.084784601	0.615777646	-1.038926014	-2.70324055	-0.117416781	0.092212454	0.346619467	-0.157309472	0.698459735	-0.037446933	0.265950484	0.72156284	0.273918632	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_2189_TW_2189	TW_2189_TW_2189	0	0	0	0	4.7	0	1.4	5	0	0	0	0	6.5	0	0.7	6.5	0	0	5.3	6.4	2.2	1.8	5.5	6	0.6	0	4	6.1	4.1	3	0.9	6	4.3	6.8	5.1	4.8	0	0	4	6.1	0.8	0	0	0	-1	-1	-1	-1	0.681241237	-1	0.176091259	0.707570176	-1	-1	-1	-1	0.819543936	-1	-0.096910013	0.819543936	-1	-1	0.73239376	0.812913357	0.361727836	0.278753601	0.748188027	0.785329835	-0.15490196	-1	0.612783857	0.792391689	0.62324929	0.491361694	0	0.785329835	0.643452676	0.838849091	0.716003344	0.69019608	-1	-1	0.612783857	0.792391689	-0.045757491	-1	-1	-1	0	0	0	0	2.167948339	0	1.183215957	2.236067977	0	0	0	0	2.549509757	0	0.836660027	2.549509757	0	0	2.302172887	2.529822128	1.483239697	1.341640786	2.34520788	2.449489743	0.774596669	0	2	2.469817807	2.024845673	1.732050808	0.948683298	2.449489743	2.073644135	2.607680962	2.258317958	2.19089023	0	0	2	2.469817807	0.894427191	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.44746274	-0.907601625	-0.360220696	0.669395705	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.703424056	-0.121305038	-0.076603681	0.787425156	-2.306310345	-2.384235625	0.744044112	0.870816882	-0.159362113	-0.460946527	0.796754595	0.828023494	-1.264686477	-2.290726983	0.258947353	0.947797625	0.797604857	0.317096592	-2.176575989	0.950231707	0.816200592	1.814298899	0.736037167	0.404018218	-2.401231726	-2.220206671	0.183770948	1.003428618	0.710933098	-0.126897547	-0.050702013	-0.339631314
TW_2245_TW_2245	TW_2245_TW_2245	0	0	0	0	5	0	4	4.2	0	3.5	0	0	6.4	0	0	5.9	0	0	2.8	0	0	0	7.4	0.2	3	5.7	4.2	3.7	2	2.5	7.3	7.1	0.1	0	7.4	7.5	1.4	1.3	7.5	6.4	0	0	0	0	-1	-1	-1	-1	0.707570176	-1	0.612783857	0.633468456	-1	0.556302501	-1	-1	0.812913357	-1	-1	0.77815125	-1	-1	0.462397998	-1	-1	-1	0.875061263	-0.522878745	0.491361694	0.763427994	0.633468456	0.579783597	0.322219295	0.414973348	0.86923172	0.857332496	-0.698970004	-1	0.875061263	0.880813592	0.176091259	0.146128036	0.880813592	0.812913357	-1	-1	-1	-1	0	0	0	0	2.236067977	0	2	2.049390153	0	1.870828693	0	0	2.529822128	0	0	2.42899156	0	0	1.673320053	0	0	0	2.720294102	0.447213595	1.732050808	2.387467277	2.049390153	1.923538406	1.414213562	1.58113883	2.701851217	2.664582519	0.316227766	0	2.720294102	2.738612788	1.183215957	1.140175425	2.738612788	2.529822128	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.520128351	-0.907601625	0.877650476	0.211580372	-0.071059848	11.49520881	-0.250122263	-0.309012845	0.67833311	-0.121305038	-1.331927164	0.471916735	-2.306310345	-2.384235625	-0.637070355	-4.912487607	-2.793148382	-2.852633318	1.762208997	-4.601211525	0.425505282	1.671836216	0.357910059	-0.299331943	-0.298363252	0.03755308	1.645531485	1.524197496	-2.139474611	-2.15375396	1.670334002	1.617506032	-0.515583781	-0.390444549	1.721488155	1.113919937	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_2253_TW_2253	TW_2253_TW_2253	0	0	0	1.5	3.1	0	1.2	3.2	2.5	0	0	0	4.2	0	2.1	3	0	2.2	5.9	5.8	1.9	2.7	6.1	5.3	1	1.7	5	5.5	3.3	4.6	4.7	5.4	1.7	0.8	2.8	1.5	0.5	2.1	1.9	5.3	0	0	0	0	-1	-1	-1	0.204119983	0.505149978	-1	0.113943352	0.51851394	0.414973348	-1	-1	-1	0.633468456	-1	0.342422681	0.491361694	-1	0.361727836	0.77815125	0.770852012	0.301029996	0.447158031	0.792391689	0.73239376	0.041392685	0.255272505	0.707570176	0.748188027	0.531478917	0.672097858	0.681241237	0.740362689	0.255272505	-0.045757491	0.462397998	0.204119983	-0.22184875	0.342422681	0.301029996	0.73239376	-1	-1	-1	-1	0	0	0	1.224744871	1.760681686	0	1.095445115	1.788854382	1.58113883	0	0	0	2.049390153	0	1.449137675	1.732050808	0	1.483239697	2.42899156	2.408318916	1.378404875	1.643167673	2.469817807	2.302172887	1	1.303840481	2.236067977	2.34520788	1.816590212	2.144761059	2.167948339	2.323790008	1.303840481	0.894427191	1.673320053	1.224744871	0.707106781	1.449137675	1.378404875	2.302172887	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	1.694782769	1.013017098	-0.907601625	-0.493241163	-0.427366816	15.73960387	-0.086782944	-0.250122263	-0.309012845	0.066045444	-0.121305038	0.842356888	-1.352626631	-2.306310345	0.049633732	1.022568902	0.593054243	-0.345517132	0.076572815	1.117494722	0.428569186	-0.866782455	-0.126697194	0.731955117	0.663319162	0.423826047	1.0815851	0.481561874	0.614807389	-0.478478126	-0.792723058	-0.447057888	-1.736491794	-1.274341541	0.105380401	-1.110327307	0.694729046	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_2328_TW_2328	TW_2328_TW_2328	0	0	0	0	5.8	0	0.1	5.2	0	0	0	0	7.5	0	0	7.5	0	0	7.5	6.7	6.8	0.1	6.3	3.7	5	0	3.4	2.8	4.4	4.1	5.5	5.2	0.3	0.4	6.8	6.2	5.1	5.5	5.3	5.5	0	0	0	0	-1	-1	-1	-1	0.770852012	-1	-0.698970004	0.72427587	-1	-1	-1	-1	0.880813592	-1	-1	0.880813592	-1	-1	0.880813592	0.832508913	0.838849091	-0.698970004	0.806179974	0.579783597	0.707570176	-1	0.544068044	0.462397998	0.653212514	0.62324929	0.748188027	0.72427587	-0.397940009	-0.301029996	0.838849091	0.799340549	0.716003344	0.748188027	0.73239376	0.748188027	-1	-1	-1	-1	0	0	0	0	2.408318916	0	0.316227766	2.28035085	0	0	0	0	2.738612788	0	0	2.738612788	0	0	2.738612788	2.588435821	2.607680962	0.316227766	2.50998008	1.923538406	2.236067977	0	1.843908891	1.673320053	2.097617696	2.024845673	2.34520788	2.28035085	0.547722558	0.632455532	2.607680962	2.48997992	2.258317958	2.34520788	2.302172887	2.34520788	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.703874477	-0.907601625	-1.674178402	0.777996597	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.944426861	-0.121305038	-1.331927164	1.282483997	-2.306310345	-2.384235625	1.702572767	1.004810822	1.837306377	-2.288907335	1.220870536	-0.598110169	1.31524572	-2.290726983	-0.053811316	-0.870568394	0.928216751	0.859458476	0.868008038	0.498891871	-1.750139774	-1.19135978	1.442586094	1.06665606	1.197766911	1.543400625	0.812864372	0.773973224	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_2364_TW_2364	TW_2364_TW_2364	0	0	0	0	3.6	0	3.7	3.6	0	0	0	0	6.1	0	0.2	5.9	0	3.7	3.8	6.5	1.8	2.9	5.3	6.4	0.1	0	1	3.5	3.3	2.1	2.1	5.3	0.1	0	0	0	2.2	1.7	2.5	3.7	0	0	0	0	-1	-1	-1	-1	0.568201724	-1	0.579783597	0.568201724	-1	-1	-1	-1	0.792391689	-1	-0.522878745	0.77815125	-1	0.579783597	0.591064607	0.819543936	0.278753601	0.477121255	0.73239376	0.812913357	-0.698970004	-1	0.041392685	0.556302501	0.531478917	0.342422681	0.342422681	0.73239376	-0.698970004	-1	-1	-1	0.361727836	0.255272505	0.414973348	0.579783597	-1	-1	-1	-1	0	0	0	0	1.897366596	0	1.923538406	1.897366596	0	0	0	0	2.469817807	0	0.447213595	2.42899156	0	1.923538406	1.949358869	2.549509757	1.341640786	1.702938637	2.302172887	2.529822128	0.316227766	0	1	1.870828693	1.816590212	1.449137675	1.449137675	2.302172887	0.316227766	0	0	0	1.483239697	1.303840481	1.58113883	1.923538406	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.158823692	-0.907601625	0.761769658	-0.161247604	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.601860461	-0.121305038	-0.660928539	0.471916735	-2.306310345	0.772126218	-0.030821673	0.915823822	-0.410799064	0.183124007	0.685984535	1.045847294	-2.073844128	-2.290726983	-1.744745692	-0.419665679	0.423826047	-0.206960754	-1.085527953	0.557123035	-2.139474611	-2.15375396	-3.831166895	-4.449933032	-0.037446933	-0.127793632	-0.688255693	-0.002484461	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_2371_TW_2371	TW_2371_TW_2371	0	0	0	0	4	4.7	3.8	3.4	0	0	0	0	7.4	0	0.1	5.3	0	1.7	2.9	3.7	0.1	0.2	2.4	2	0	0.7	0	0.1	0	0.5	2.5	3	0.7	0.9	3.9	2.9	0	0.5	2.3	2.7	0	0	0	0	-1	-1	-1	-1	0.612783857	0.681241237	0.591064607	0.544068044	-1	-1	-1	-1	0.875061263	-1	-0.698970004	0.73239376	-1	0.255272505	0.477121255	0.579783597	-0.698970004	-0.522878745	0.397940009	0.322219295	-1	-0.096910013	-1	-0.698970004	-1	-0.22184875	0.414973348	0.491361694	-0.096910013	0	0.602059991	0.477121255	-1	-0.22184875	0.380211242	0.447158031	-1	-1	-1	-1	0	0	0	0	2	2.167948339	1.949358869	1.843908891	0	0	0	0	2.720294102	0	0.316227766	2.302172887	0	1.303840481	1.702938637	1.923538406	0.316227766	0.447213595	1.549193338	1.414213562	0	0.836660027	0	0.316227766	0	0.707106781	1.58113883	1.732050808	0.836660027	0.948683298	1.974841766	1.702938637	0	0.707106781	1.516575089	1.643167673	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.268306348	1.186812819	0.800901674	-0.292349181	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.921080568	-0.121305038	-0.857459486	0.139914096	-2.306310345	-0.244745023	-0.572020708	-0.515179126	-2.231623263	-2.055404388	-1.252149626	-1.979160571	-2.632080332	-0.902092983	-3.748438738	-3.968744738	-2.836606714	-1.581470085	-0.797750271	-0.964223126	-1.264196131	-0.71016269	0.162737198	-0.677046097	-2.401231726	-1.085436375	-0.82267088	-0.518756148	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_345_TW_345	TW_345_TW_345	0	0	0	0	0	1.7	3.7	3.3	0	0	0	0	3.9	0	2.2	3.4	0	1.7	4.8	6.7	3.3	2.2	5.5	6.7	5	1.2	5.3	6.7	1.9	1.9	6	6.6	3.2	5.8	6.2	6.7	3.2	1.7	5.7	6.4	0	0	0	0	-1	-1	-1	-1	-1	0.255272505	0.579783597	0.531478917	-1	-1	-1	-1	0.602059991	-1	0.361727836	0.544068044	-1	0.255272505	0.69019608	0.832508913	0.531478917	0.361727836	0.748188027	0.832508913	0.707570176	0.113943352	0.73239376	0.832508913	0.301029996	0.301029996	0.785329835	0.826074803	0.51851394	0.770852012	0.799340549	0.832508913	0.51851394	0.255272505	0.763427994	0.812913357	-1	-1	-1	-1	0	0	0	0	0	1.303840481	1.923538406	1.816590212	0	0	0	0	1.974841766	0	1.483239697	1.843908891	0	1.303840481	2.19089023	2.588435821	1.816590212	1.483239697	2.34520788	2.588435821	2.236067977	1.095445115	2.302172887	2.588435821	1.378404875	1.378404875	2.449489743	2.569046516	1.788854382	2.408318916	2.48997992	2.588435821	1.788854382	1.303840481	2.387467277	2.529822128	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	-0.865163895	0.352014339	0.761769658	-0.35934648	-0.071059848	-0.086782944	-0.250122263	-0.309012845	-0.028962924	-0.121305038	0.893523512	-1.059789797	-2.306310345	-0.244745023	0.499640208	1.004810822	0.432567844	-0.208524084	0.796754595	1.204780174	1.31524572	-0.472578294	0.864409066	1.218596839	-0.362633012	-0.337983458	1.095354479	1.269263796	0.337232701	1.510933898	1.204548454	1.284786635	0.4496	-0.127793632	0.990438675	1.113919937	-0.605815742	-0.126897547	-0.050702013	-0.339631314
TW_346_TW_346	TW_346_TW_346	0	0	5.7	0	0	0	0.2	3.7	0	0	0	0	6.2	0	3.2	6.6	0	0.3	3.1	5.1	2.7	0.3	2.2	3.8	3.3	3.8	4.7	5.6	3.6	3.7	4.7	6.5	3.9	2.9	4.3	6.2	3.7	0.3	5.8	1.4	6.3	0	0	0	-1	-1	0.763427994	-1	-1	-1	-0.522878745	0.579783597	-1	-1	-1	-1	0.799340549	-1	0.51851394	0.826074803	-1	-0.397940009	0.505149978	0.716003344	0.447158031	-0.397940009	0.361727836	0.591064607	0.531478917	0.591064607	0.681241237	0.755874856	0.568201724	0.579783597	0.681241237	0.819543936	0.602059991	0.477121255	0.643452676	0.799340549	0.579783597	-0.397940009	0.770852012	0.176091259	0.806179974	-1	-1	-1	0	0	2.387467277	0	0	0	0.447213595	1.923538406	0	0	0	0	2.48997992	0	1.788854382	2.569046516	0	0.547722558	1.760681686	2.258317958	1.643167673	0.547722558	1.483239697	1.949358869	1.816590212	1.949358869	2.167948339	2.366431913	1.897366596	1.923538406	2.167948339	2.549509757	1.974841766	1.702938637	2.073644135	2.48997992	1.923538406	0.547722558	2.408318916	1.183215957	2.50998008	0	0	0	-0.050702013	-0.050702013	6.06447882	-0.355375502	-0.865163895	-0.907601625	-1.475663773	-0.097062927	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.627556114	-0.121305038	1.352067339	0.838571059	-2.306310345	-1.4854698	-0.445202865	0.250144279	0.124621729	-1.876231273	-1.421911214	-0.528097168	0.574742512	0.944692321	0.595464272	0.711772607	0.568804241	0.671800813	0.481561874	1.217130798	0.650031824	0.437571676	0.362554313	1.06665606	0.664240997	-1.341217379	1.033849681	-1.365706346	3.089301525	-0.126897547	-0.050702013	-0.339631314
TW_390_TW_390	TW_390_TW_390	0	0	0	0	6.1	0	0.9	5.7	0	0	0	0	7.5	0	0	7.5	0	4.7	6.9	5.6	0	1.4	5.5	5.7	6.7	1.8	6.7	5.1	6.5	1.1	2	3.8	0	0.1	5.5	3.8	0	0.7	5.6	3.9	0	0	0	0	-1	-1	-1	-1	0.792391689	-1	0	0.763427994	-1	-1	-1	-1	0.880813592	-1	-1	0.880813592	-1	0.681241237	0.84509804	0.755874856	-1	0.176091259	0.748188027	0.763427994	0.832508913	0.278753601	0.832508913	0.716003344	0.819543936	0.079181246	0.322219295	0.591064607	-1	-0.698970004	0.748188027	0.591064607	-1	-0.096910013	0.755874856	0.602059991	-1	-1	-1	-1	0	0	0	0	2.469817807	0	0.948683298	2.387467277	0	0	0	0	2.738612788	0	0	2.738612788	0	2.167948339	2.626785107	2.366431913	0	1.183215957	2.34520788	2.387467277	2.588435821	1.341640786	2.588435821	2.258317958	2.549509757	1.048808848	1.414213562	1.949358869	0	0.316227766	2.34520788	1.949358869	0	0.836660027	2.366431913	1.974841766	0	0	0	0	-0.050702013	-0.050702013	-0.207977376	-0.355375502	1.769477504	-0.907601625	-0.715664977	1.040692732	-0.071059848	-0.086782944	-0.250122263	-0.309012845	0.944426861	-0.121305038	-1.331927164	1.282483997	-2.306310345	1.173181993	1.456971857	0.497298383	-2.793148382	-0.743363829	0.796754595	0.659847619	1.937279927	-0.063958702	1.437992116	0.464953654	1.739276763	-0.948514391	-1.161666532	-0.384345945	-2.671315889	-1.67255687	0.911762645	-0.131098254	-2.401231726	-0.877528349	0.946645173	0.091985	-0.605815742	-0.126897547	-0.050702013	-0.339631314
